"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.916,-2.634,0.102,0,122.036,194754,6,66
0.815,-4.969,0.0724,0.00421,99.972,162600,5,67
0.931,-3.432,0.0794,2.33e-05,124.008,176616,5,70
0.93,-3.778,0.0287,9.43e-06,121.956,169093,5,60
0.833,-4.672,0.0803,0,123.976,189052,6,69
0.919,-5.385,0.0799,0,124.982,163049,5,67
0.856,-4.788,0.187,0,112.648,187675,5,62
0.903,-2.419,0.0335,4.83e-06,127.936,207619,5,69
0.935,-3.562,0.0249,3.97e-06,127.015,193187,6,68
0.818,-4.552,0.0567,0,124.957,253040,5,67
0.923,-6.5,0.146,4.92e-06,121.984,207894,5,58
0.774,-4.918,0.148,0,123.125,203733,5,67
0.726,-4.675,0.0399,0,121.985,192507,6,67
0.915,-4.451,0.0111,0,123.919,164516,6,68
0.78,-4.446,0.00733,0.00183,126.07,255238,5,63
0.835,-4.603,0.13,5.03e-06,125.028,188230,5,66
0.901,-4.322,0.0702,0,118.051,173548,6,60
0.747,-5.289,0.0395,0,120.002,189375,6,65
0.557,-6.722,0.103,0.0036,111.961,159404,6,69
0.821,-5.466,0.00791,0.000441,122.676,185366,5,35
0.934,-5.053,0.00292,0.0198,125.948,215238,5,70
0.913,-4.329,0.089,0.081,135.016,170667,5,64
0.818,-4.477,0.0469,3.39e-06,123.938,210968,6,62
0.85,-5.999,0.114,2.02e-06,124.024,193548,5,70
0.889,-3.785,0.0163,1.86e-05,110.018,205093,6,58
0.76,-7.037,0.104,0,124.933,172800,5,63
0.851,-7.117,0.0146,0.000834,126,192381,5,66
0.905,-3.781,0.0325,0,125.996,175000,6,8
0.938,-3.983,0.00432,0.00026,127.997,166875,6,62
0.909,-2.929,0.0334,0,119.885,155080,6,30
0.869,-4.754,0.0319,0.00131,128.091,178125,5,56
0.814,-7.51,0.107,3.03e-05,121.993,172000,6,56
0.837,-6.487,0.0103,0.000477,123.952,177097,6,58
0.864,-5.06,0.00141,0.00467,125.032,169935,5,60
0.815,-4.121,0.108,0,124.975,220413,5,60
0.831,-5.029,0.0823,7.36e-05,128.024,185273,5,55
0.833,-5.972,0.126,9.09e-06,122.032,170164,6,59
0.854,-4.046,0.0382,2.83e-05,126.026,172360,6,63
